t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.1943997,-2.776776,2.267806,22.67806,25.71472,0
0.1949997,-2.775411,2.27447,22.7447,25.86607,0
0.1955997,-2.774042,2.281131,22.81131,26.0178,0
0.1961997,-2.77267,2.287789,22.87789,26.16988,0
0.1967997,-2.771293,2.294443,22.94443,26.32235,0
0.1973997,-2.769912,2.301094,23.01094,26.47517,0
0.1979997,-2.768528,2.307742,23.07742,26.62837,0
0.1985997,-2.767139,2.314387,23.14387,26.78193,0
0.1991997,-2.765746,2.321028,23.21028,26.93585,0
0.1997997,-2.76435,2.327666,23.27666,27.09013,0
0.2003997,-2.762949,2.3343,23.343,27.24478,0
0.2009996,-2.761545,2.340931,23.40931,27.3998,0
0.2015996,-2.760136,2.347559,23.47559,27.55516,0
0.2021996,-2.758724,2.354183,23.54183,27.71089,0
0.2027996,-2.757307,2.360804,23.60804,27.86698,0
0.2033996,-2.755887,2.367422,23.67422,28.02343,0
0.2039996,-2.754462,2.374036,23.74036,28.18023,0
0.2045996,-2.753034,2.380646,23.80647,28.33739,0
0.2051996,-2.751602,2.387254,23.87254,28.4949,0
0.2057996,-2.750165,2.393858,23.93858,28.65277,0
0.2063996,-2.748725,2.400458,24.00458,28.811,0
0.2069996,-2.747281,2.407055,24.07055,28.96957,0
0.2075996,-2.745833,2.413649,24.13649,29.1285,0
0.2081996,-2.74438,2.420238,24.20238,29.28777,0
0.2087996,-2.742924,2.426825,24.26825,29.4474,0
0.2093996,-2.741464,2.433408,24.33408,29.60737,0
0.2099996,-2.74,2.439987,24.39987,29.76769,0
0.2105996,-2.738533,2.446563,24.46564,29.92836,0
0.2111996,-2.737061,2.453136,24.53136,30.08938,0
0.2117996,-2.735585,2.459705,24.59705,30.25074,0
0.2123996,-2.734105,2.46627,24.6627,30.41244,0
0.2129996,-2.732621,2.472832,24.72832,30.57449,0
0.2135995,-2.731133,2.47939,24.7939,30.73688,0
0.2141995,-2.729642,2.485945,24.85945,30.8996,0
0.2147995,-2.728146,2.492496,24.92496,31.06268,0
0.2153995,-2.726647,2.499043,24.99043,31.22608,0
0.2159995,-2.725143,2.505587,25.05587,31.38983,0
